election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,43,4.42,NA,NA,NA,NA
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,38,3.91,NA,NA,NA,NA
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,8,0.82,NA,NA,NA,NA
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,2723,47.51,NA,NA,NA,NA
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,2119,36.97,NA,NA,NA,NA
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,311,5.43,NA,NA,NA,NA
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,311,5.43,NA,NA,NA,NA
AUT25,2025-10-12,010209,Albergaria-a-Velha e Valmaior,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,92,1.61,NA,NA,NA,NA
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,719,41.95,NA,NA,NA,NA
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,524,30.57,NA,NA,NA,NA
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,243,14.18,NA,NA,NA,NA
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,128,7.47,NA,NA,NA,NA
AUT25,2025-10-12,010210,São João de Loure e Frossos,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,44,2.57,NA,NA,NA,NA
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,332,52.12,NA,NA,NA,NA
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,142,22.29,NA,NA,NA,NA
AUT25,2025-10-12,010304,Avelãs de Caminho,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,103,16.17,NA,NA,NA,NA
