election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,090324,São Pedro e Santa Maria e Vila Boa do Mondego,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,613,45.14,4,1,NA,NA
AUT25,2025-10-12,090324,São Pedro e Santa Maria e Vila Boa do Mondego,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,507,37.33,4,0,NA,NA
AUT25,2025-10-12,090324,São Pedro e Santa Maria e Vila Boa do Mondego,Freguesia,AF,Resultados Apurados,TPC, ,GroupCitizen,187,13.77,1,0,NA,NA
AUT25,2025-10-12,090325,"Cortiçô da Serra, Vide entre Vinhas e Salgueirais",Freguesia,AF,Resultados Apurados,JPCVS, ,GroupCitizen,161,65.98,7,1,NA,NA
AUT25,2025-10-12,090326,Rapa e Cadafaz,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,161,88.46,7,1,NA,NA
AUT25,2025-10-12,090403,Castelo Rodrigo,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,109,54.77,4,1,NA,NA
AUT25,2025-10-12,090403,Castelo Rodrigo,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,85,42.71,3,0,NA,NA
AUT25,2025-10-12,090406,Escalhão,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,244,54.71,4,1,NA,NA
AUT25,2025-10-12,090406,Escalhão,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,190,42.6,3,0,NA,NA
AUT25,2025-10-12,090408,Figueira de Castelo Rodrigo,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,724,48.59,5,1,NA,NA
