election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,011319,Vila de Cucujães,Freguesia,AM,9297,5555,59.75,40.25,143,2.57,61,1.1,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",Freguesia,AM,19032,10120,53.17,46.83,229,2.26,129,1.27,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011322,"Pinheiro da Bemposta, Travanca e Palmaz",Freguesia,AM,6365,3640,57.19,42.81,80,2.2,54,1.48,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011323,Nogueira do Cravo,Freguesia,AM,2491,1732,69.53,30.47,38,2.19,26,1.5,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011324,Pindelo,Freguesia,AM,2221,1503,67.67,32.33,25,1.66,18,1.2,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011403,Oiã,Freguesia,AM,6896,3831,55.55,44.45,111,2.9,35,0.91,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011404,Oliveira do Bairro,Freguesia,AM,5720,3110,54.37,45.63,95,3.05,68,2.19,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011405,Palhaça,Freguesia,AM,2430,1467,60.37,39.63,36,2.45,27,1.84,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011407,"Bustos, Troviscal e Mamarrosa",Freguesia,AM,5886,3440,58.44,41.56,70,2.03,54,1.57,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011502,Cortegaça,Freguesia,AM,3429,2237,65.24,34.760000000000005,54,2.41,35,1.56,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011503,Esmoriz,Freguesia,AM,11199,6406,57.2,42.8,170,2.65,101,1.58,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011504,Maceda,Freguesia,AM,3192,1956,61.28,38.72,48,2.45,29,1.48,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011507,Válega,Freguesia,AM,6258,3341,53.39,46.61,79,2.36,37,1.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011510,Arada,Freguesia,AM,2936,1945,66.25,33.75,43,2.21,31,1.59,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011511,Ovar,Freguesia,AM,16681,8994,53.92,46.08,288,3.2,115,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011512,São João,Freguesia,AM,5650,3140,55.58,44.42,81,2.58,48,1.53,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011513,São Vicente de Pereira Jusã,Freguesia,AM,1976,1283,64.93,35.06999999999999,29,2.26,23,1.79,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011601,São João da Madeira,Freguesia,AM,19436,11255,57.91,42.09,229,2.03,106,0.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011702,Couto de Esteves,Freguesia,AM,686,537,78.28,21.72,14,2.61,5,0.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011704,Pessegueiro do Vouga,Freguesia,AM,1564,1144,73.15,26.849999999999994,16,1.4,15,1.31,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011705,Rocas do Vouga,Freguesia,AM,1434,1041,72.59,27.409999999999997,16,1.54,12,1.15,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011706,Sever do Vouga,Freguesia,AM,2332,1710,73.33,26.67,34,1.99,26,1.52,NA,NA,NA,Resultados Apurados
